Index,Job Title,Location,Type
13,Arabic (Egypt) Freelance Writer (US),"Remote - Egypt, United States",Languages
14,Bangla Freelance Writer,"Remote - India, Bangladesh, United States, Canada, Puerto Rico, Mexico, United Kingdom, Australia, New Zealand, Argentina",Languages
15,Bring Your Voice to AI Training - Bengali,Remote - India,Languages
16,Bring Your Voice to AI Training - Dutch,Remote - Netherlands,Languages
17,Bring Your Voice to AI Training - Finnish,Remote - Finland,Languages
18,Bring Your Voice to AI Training - Gujarati,Remote - India,Languages
19,Bring Your Voice to AI Training - Kannada,Remote - India,Languages
20,Bring Your Voice to AI Training - Malay,Remote - Malaysia,Languages
21,Bring Your Voice to AI Training - Marathi,Remote - India,Languages
22,Bring Your Voice to AI Training - Polish,Remote - Poland,Languages
23,Bring Your Voice to AI Training - Swedish,Remote - Sweden,Languages
24,Bring Your Voice to AI Training - Tamil,Remote - India,Languages
25,Bring Your Voice to AI Training - Telugu,Remote - India,Languages
26,Bring Your Voice to AI Training - Thai,Remote - Thailand,Languages
27,Bring Your Voice to AI Training - Traditional Chinese,"Remote - Taiwan, Province of China",Languages
28,Bring Your Voice to AI Training - Turkish,Remote - Turkey,Languages
29,Bulgarian Freelance Writer,Remote - Bulgaria,Languages
30,Chinese (Taiwan - Traditional) AI Training,"Remote - Taiwan, Province of China",Languages
31,Danish Freelance STEM Writer,Remote - Denmark,Languages
32,Dutch Freelance STEM Writer,Remote - Netherlands,Languages
33,Escritor Freelancer Español - México,Remote - Mexico,Languages
34,Finnish Freelance STEM Writer,Remote - Finland,Languages
35,French Freelance Writer,Remote - France,Languages
36,German Freelance Writer,Remote - Germany,Languages
37,Gujarati  Freelance Writer,Remote - India,Languages
38,Gulf Arabic Freelance Writer,Remote - Saudi Arabia,Languages
39,Hebrew Freelance Writer,"Remote - Israel, United States, Canada, United Kingdom, Australia, New Zealand",Languages
40,Hijazi Arabic Freelance Writer,Remote - Saudi Arabia,Languages
41,Hindi Freelance Writer (India),Remote - India,Languages
42,Hong Kong Chinese Freelance Writer,"Remote - United States, Canada, United Kingdom, Australia, Singapore, Taiwan, Province of China, Japan, Korea, Republic of",Languages
43,Indonesian Freelance Writer,Remote - Indonesia,Languages
44,Iraqi Arabic Freelance Writer,Remote - Global,Languages
45,Italian Freelance Writer,Remote - Italy,Languages
46,Japanese AI Training,Remote - Japan,Languages
47,Japanese AI Training,Remote - Japan,Languages
48,Kannada Freelance Writer,Remote - India,Languages
49,Kiswahili  Writing Expertise for AI Training,"Remote - Tanzania, United Republic of",Languages
50,Korean AI Training,"Remote - Korea, Republic of",Languages
51,Levantine  Arabic Freelance Writer,Remote - Jordan,Languages
52,Malay Freelance Writer,Remote - Malaysia,Languages
53,Mandarin Chinese (Simplified) Freelance Writer,"Remote - United States, Canada, United Kingdom",Languages
54,Marathi (India) Freelance Writer,Remote - India,Languages
55,Najdi  Arabic Freelance Writer,Remote - Saudi Arabia,Languages
56,Norwegian Freelance STEM Writer,Remote - Norway,Languages
57,Penulis STEM Bebas Bahasa Melayu,"Remote - Malaysia, Indonesia, Thailand",Languages
58,Polish Freelance STEM Writing,Remote - Poland,Languages
59,Portuguese (Brazil) Freelance Writer,Remote - Brazil,Languages
60,STEM Freelance Writer in Flemish,Remote - Belgium,Languages
61,Swedish Freelance STEM Writer,Remote - Sweden,Languages
62,Tagalog  Freelance Writer,Remote - Philippines,Languages
63,Tamil (India) Freelance Writer,Remote - India,Languages
64,Telugu (India) Freelance Writer,Remote - India,Languages
65,Thai Freelance STEM Writer,Remote - Thailand,Languages
66,Ukrainian Freelance Writer,"Remote - United States, Canada, United Kingdom, Poland, Germany, Italy, Czech Republic",Languages
67,Vietnamese Freelance Writer,Remote - Viet Nam,Languages
68,นักเขียน STEM ฟรีแลนซ์ภาษาไทย,Remote - Thailand,Languages
69,香港中文自由撰稿人,"Remote - United States, United Kingdom, New Zealand, Canada, Australia, Malaysia, Singapore",Languages
70,Coding Expert - LATAM,"Remote - Puerto Rico, Argentina, Peru, Colombia, Dominica, Brazil, Mexico, Belize, Costa Rica, Dominican Republic, El Salvador, Nicaragua, Panama, Trinidad and Tobago, Bolivia, Chile, Ecuador, Paraguay, Venezuela, Uruguay, Honduras, Guatemala",Coders
71,Full Stack Software Engineer for AI Training,Remote - Global,Coders
72,Full Stack Software Engineer for AI Training,"Remote - United States, Canada, United Kingdom, Australia",Coders
73,Software Engineer for AI Training (Code Quality & Debugging Focus),Remote - India,Coders
74,English Writing and Content Reviewing Expertise Sought for AI Training,"Remote - United States, Australia, Canada, United Kingdom, New Zealand, Ireland",Generalist
75,English Writing and Content Reviewing Expertise Sought for AI Training,Remote - India,Generalist
